,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
186,45,1,185588,9,0,9,4,4,0,40,38,0
187,50,2,175029,8,2,9,0,4,1,40,38,1
188,34,3,34848,9,2,11,0,4,1,54,38,0
189,45,2,411273,5,2,2,0,2,1,40,38,0
190,73,1,143437,11,2,3,0,4,1,20,38,0
191,34,2,357145,9,2,9,5,4,0,50,38,1
192,31,2,236861,15,2,11,0,4,1,55,38,1
193,19,2,53355,1,4,11,1,4,1,12,38,0
194,25,2,29106,15,4,7,3,4,0,50,38,0
195,38,0,213274,8,0,2,4,4,0,40,38,0
196,39,2,22463,9,2,13,0,4,1,40,38,0
197,23,2,180497,9,4,12,3,2,0,32,38,0
198,49,2,37306,11,2,6,0,4,1,40,38,0
199,33,0,137814,11,4,7,1,4,1,32,38,0
200,21,2,447488,4,4,6,2,4,1,38,25,0
201,31,2,220915,8,5,2,1,4,1,40,38,0
202,23,2,42251,9,4,3,1,4,0,45,38,0
203,34,2,162312,9,2,0,0,1,1,40,29,0
204,25,2,77698,11,4,6,1,1,0,40,29,0
205,39,2,282951,11,4,2,4,4,1,40,38,0
206,52,3,311259,11,2,11,0,4,1,40,38,1
207,63,1,65479,6,2,13,0,4,1,40,38,1
208,41,2,277256,15,2,2,0,4,1,40,38,0
209,46,2,312088,9,2,9,0,4,1,38,38,1
210,53,1,169719,11,2,3,0,4,1,40,38,0
211,18,2,96869,2,4,8,3,4,1,40,38,0
212,38,2,237943,14,2,9,0,4,1,50,38,0
213,55,2,119751,12,4,3,4,1,0,50,36,0
214,34,2,236861,11,2,12,0,4,1,40,38,1
215,80,4,201092,11,2,7,0,4,1,30,38,0
216,34,2,147215,8,0,12,4,4,0,60,38,0
217,52,2,152373,15,2,12,0,4,1,40,38,0
218,42,2,227968,11,4,7,4,2,0,28,13,0
219,26,2,362617,15,4,11,1,4,0,40,38,0
220,31,2,103435,11,2,13,0,4,1,40,38,0
221,25,1,281412,11,4,7,3,4,0,35,38,0
222,55,4,105239,11,2,2,0,4,1,60,38,0
223,19,2,230165,15,4,7,3,4,0,12,38,0
224,62,4,177493,15,2,13,0,4,1,32,38,0
225,22,0,104443,15,4,0,3,4,0,20,38,0
226,35,2,143385,11,2,5,0,4,1,40,38,0
227,28,2,107189,11,2,11,3,4,0,40,38,0
228,47,2,212944,11,2,13,0,4,1,70,38,1
229,44,5,138634,11,2,6,0,4,1,40,38,0
230,21,2,99970,15,4,11,3,4,1,15,38,0
231,35,2,203717,8,4,2,1,4,1,50,38,0
232,24,2,313956,9,2,9,0,4,1,40,38,1
233,28,2,193868,9,4,12,3,4,1,50,38,0
234,21,2,250939,15,4,6,2,4,1,35,38,0
235,62,0,57629,15,0,12,1,2,1,40,38,0
236,39,2,281768,11,4,7,1,2,0,40,38,0
237,30,5,260782,11,4,7,1,4,1,40,38,0
238,72,4,243769,14,4,9,1,4,1,20,38,0
239,50,2,109937,15,2,3,5,4,0,50,38,0
240,28,1,134890,12,4,9,1,4,1,40,38,0
241,29,2,100293,15,4,9,1,4,0,40,38,0
242,26,2,132179,9,4,0,3,4,0,40,38,0
243,27,2,116372,12,4,3,1,4,0,40,38,0
244,29,2,255412,15,2,5,0,4,1,40,38,1
245,29,2,342400,0,2,2,0,4,1,25,38,0
246,31,2,169085,1,2,11,5,4,0,20,38,0
247,25,2,177221,11,2,3,0,4,1,75,38,0
248,58,2,65325,0,2,13,0,4,1,40,38,1
249,64,2,118944,15,2,3,5,4,0,40,38,1
250,46,5,149337,12,4,3,1,4,1,38,38,0
251,19,2,106183,11,4,7,3,0,0,35,38,0
252,42,2,226388,11,0,7,1,2,1,52,38,0
253,18,2,220754,1,4,5,3,4,1,24,38,0
254,58,3,204021,9,2,2,0,4,1,50,38,1
255,20,2,347391,15,4,10,1,2,1,60,38,0
256,35,0,413930,11,2,2,0,4,1,40,38,1
257,32,2,174201,11,2,5,0,4,1,38,38,1
258,23,2,145917,11,4,5,1,4,0,25,38,0
259,31,2,241797,15,0,12,4,4,0,40,38,0
260,33,2,265168,9,2,11,0,2,1,55,38,0
261,41,2,171234,15,4,6,1,4,0,48,38,0
262,22,2,178452,11,4,6,3,2,1,40,38,0
263,46,2,157857,15,2,10,0,4,1,40,38,1
264,61,0,512864,15,2,13,0,2,1,40,38,0
265,30,2,296462,11,4,3,1,2,1,40,38,0
266,42,2,171615,11,2,3,0,4,1,55,38,1
267,63,2,214071,0,2,5,0,4,1,40,38,0
268,26,2,172421,15,2,11,0,4,1,40,38,0
269,42,2,195488,0,0,0,4,4,0,40,38,0
270,23,2,316841,15,2,7,0,4,1,40,38,0
271,25,2,236267,11,4,6,4,4,1,40,38,0
272,30,2,236543,6,2,7,0,4,1,32,7,1
273,23,2,318483,11,4,11,3,4,1,40,38,0
274,34,4,163756,8,4,4,1,4,1,60,38,1
275,30,2,238186,11,2,6,2,4,1,48,38,0
276,39,2,329980,15,2,2,0,4,1,40,38,1
277,30,2,169269,1,4,5,2,4,1,38,32,0
278,38,1,34744,15,0,0,4,4,0,38,38,0
279,26,2,98114,11,0,3,3,4,0,40,38,0
280,20,2,109667,15,4,5,3,4,1,16,38,0
281,33,2,147430,11,2,0,3,4,0,40,38,0
282,24,2,224238,9,4,0,3,4,1,40,38,0
283,42,3,212894,9,2,3,0,4,1,60,38,1
284,51,4,136708,11,2,11,0,1,1,84,39,0
285,56,1,38573,7,2,12,0,4,1,45,38,1
286,22,2,197200,15,4,5,3,4,1,40,38,0
287,52,4,182796,15,2,4,0,4,1,60,38,0
288,44,2,184527,9,0,3,4,4,0,45,38,1
289,34,2,145231,11,2,0,5,4,0,35,38,0
290,51,2,43354,15,0,2,1,4,1,42,38,1
291,19,2,355712,15,4,11,1,4,0,25,38,0
292,37,2,98776,9,2,3,0,4,1,40,38,1
293,68,2,257557,11,2,6,0,2,1,40,38,1
294,22,2,102258,15,0,10,1,4,1,40,38,0
295,56,3,170287,9,2,3,0,4,1,40,38,0
296,37,2,243409,11,2,2,0,4,1,40,38,0
297,52,2,55608,3,2,6,0,4,1,40,25,0
298,26,2,248057,11,5,5,3,4,1,40,32,0
299,33,2,95530,12,2,9,0,4,1,50,38,0
300,45,1,54038,12,0,9,4,4,0,42,38,0
301,18,2,161245,1,4,7,3,4,1,15,38,0
302,43,4,388725,15,2,4,0,4,1,60,38,1
303,18,2,228216,11,4,5,3,4,1,20,38,0
304,57,2,78020,11,2,2,0,4,1,40,38,1
305,41,2,249254,11,0,0,4,4,0,42,38,0
306,34,2,87218,12,2,3,0,4,1,50,38,1
307,19,2,304299,11,4,11,4,4,0,40,38,0
308,44,2,196234,6,0,7,4,4,0,55,5,0
309,56,2,197875,0,6,7,4,4,0,40,38,0
310,36,3,48063,11,2,4,0,4,1,80,38,0
311,48,2,253596,9,0,3,4,4,0,48,38,0
312,29,2,39257,11,2,13,0,4,1,40,38,1
313,33,2,56150,9,4,2,1,4,1,40,38,0
314,31,2,179415,4,2,7,0,4,1,40,25,0
315,39,2,252445,12,2,9,0,4,1,45,38,1
316,66,2,275918,11,2,3,0,4,1,40,38,1
317,27,2,106562,9,4,9,1,4,0,50,38,1
318,39,2,198654,11,0,3,4,2,0,40,38,1
319,59,2,107318,5,2,2,0,4,1,50,38,1
320,26,2,181896,11,4,7,3,4,0,40,38,0
321,31,2,106014,8,0,2,4,4,1,40,38,0
322,23,2,197997,11,4,5,3,4,1,30,38,0
323,36,1,173542,11,0,0,4,4,0,40,38,0
324,34,2,207564,15,2,7,5,4,0,12,38,1
325,32,2,224462,11,2,13,0,4,1,84,38,1
326,37,2,123361,9,2,9,0,2,1,50,38,1
327,33,2,90409,9,4,11,1,4,1,45,38,0
328,50,4,165001,14,2,9,0,4,1,80,38,1
329,32,0,149573,7,4,10,1,2,1,40,38,0
330,35,2,249456,9,4,0,3,2,0,40,38,0
331,37,2,149898,1,2,2,0,4,1,40,38,0
332,44,2,292985,15,0,2,1,4,1,60,38,0
333,57,2,50223,15,0,5,2,4,1,25,38,0
334,29,1,400074,15,2,3,3,4,0,40,38,0
335,55,2,197399,11,2,2,0,4,1,50,38,1
336,43,3,209547,14,2,9,0,4,1,25,38,1
337,43,2,52433,15,2,11,0,4,1,70,38,0
338,45,4,355978,15,2,11,0,4,1,60,38,1
339,33,4,48214,12,2,9,5,4,0,8,38,0
340,26,2,190873,0,0,7,4,4,0,40,10,0
341,23,2,278390,15,2,11,0,4,1,68,38,0
342,41,2,203217,5,5,2,1,4,1,40,25,0
343,24,2,279175,11,2,2,0,4,1,40,38,0
344,47,4,194590,9,2,11,0,4,1,44,38,0
345,34,4,198813,11,4,2,3,4,1,45,38,0
346,40,2,187294,11,2,3,0,4,1,40,38,1
347,28,2,302903,9,2,9,5,1,0,40,38,0
348,24,2,154835,11,4,3,3,1,0,40,34,0
349,23,2,100345,11,4,2,2,4,1,15,38,0
350,43,4,126320,11,2,3,0,2,1,40,38,1
351,26,2,142226,9,0,12,1,4,0,40,38,0
352,58,4,112076,10,1,3,5,4,0,35,38,1
353,52,2,225339,11,6,0,4,2,0,35,38,0
354,29,2,211208,1,2,13,0,4,1,99,38,1
355,47,2,200808,1,2,7,0,4,1,35,3,0
356,49,2,220618,11,0,0,4,2,0,37,38,0
357,40,2,210493,1,6,0,4,4,0,40,38,0
358,62,4,369734,11,2,0,5,4,0,40,38,0
359,49,2,27898,11,2,3,0,4,1,55,38,1
360,50,2,138193,9,0,9,2,4,0,50,38,1
361,31,2,224234,11,4,13,3,2,1,40,38,0
362,48,1,188741,12,4,9,1,4,0,50,38,0
363,24,2,183772,11,4,2,4,4,0,40,38,0
364,37,2,79586,11,5,6,3,1,1,60,38,0
365,45,2,355781,9,2,3,0,1,1,45,23,1
366,36,2,116358,12,2,3,0,1,1,45,18,0
367,45,2,59287,9,2,3,0,4,1,40,38,0
368,41,2,138868,9,4,11,1,4,0,40,38,0
369,26,2,185885,7,4,12,2,4,0,20,38,0
370,17,2,40299,1,4,11,3,4,0,25,38,0
371,43,2,51494,11,2,6,0,4,1,65,38,0
372,35,2,179481,11,4,13,3,4,1,55,38,0
373,38,2,365907,9,0,0,4,4,0,40,38,0
374,26,2,284343,11,4,6,1,4,1,40,38,0
375,28,2,204862,15,4,3,3,4,0,40,38,0
376,38,2,272476,9,2,9,5,4,0,24,38,1
377,36,2,175130,1,0,13,4,4,0,40,38,0
378,33,2,118941,11,2,0,5,4,0,40,38,1
379,19,2,164339,11,4,5,3,4,1,70,38,0
380,42,0,55457,0,2,0,0,4,1,40,25,0
381,50,2,280292,0,2,13,0,4,1,40,38,1
382,30,2,446894,11,2,5,0,4,1,30,38,0
383,37,5,67083,15,2,9,2,1,1,40,0,0
384,54,3,159219,14,2,9,0,4,1,40,38,1
385,52,3,168539,9,4,3,1,4,1,40,38,0
386,33,2,150309,11,0,2,1,4,0,40,38,0
387,25,2,122999,15,4,12,2,4,1,40,38,0
388,24,2,302195,9,4,11,1,4,1,45,38,0
389,26,2,210982,8,5,0,4,2,0,40,38,0
390,39,2,177140,11,5,0,1,4,1,40,38,1
391,59,2,113838,11,0,7,1,4,0,40,38,0
392,29,2,97165,15,4,0,4,4,0,40,38,0
393,47,2,104301,1,4,7,3,4,0,45,38,0
394,64,3,115931,11,2,13,0,4,1,50,38,0
395,21,2,147280,11,4,7,3,3,1,20,38,0
396,32,2,185433,15,2,0,5,2,0,40,38,1
397,26,2,599057,11,4,3,1,2,0,37,38,0
398,62,4,71467,12,2,9,0,4,1,40,38,0
399,32,2,183977,9,2,2,0,4,1,55,38,1
400,45,4,196858,11,2,3,0,4,1,60,38,0
401,31,2,160594,9,2,3,0,4,1,50,38,1
402,32,2,65278,11,2,0,0,4,1,40,38,0
403,24,2,102258,9,2,11,0,4,1,40,38,0
404,25,2,196947,9,4,11,3,4,0,40,38,0
405,41,4,233150,11,2,3,0,4,1,60,38,0
406,18,2,42857,15,4,11,3,4,0,20,38,0
407,44,2,118059,10,2,9,0,4,1,55,38,1
408,40,2,169262,15,2,3,0,4,1,50,38,0
409,27,2,95108,9,4,9,1,4,1,40,38,0
410,23,2,161092,9,4,0,3,4,1,40,38,0
411,21,2,345253,15,4,0,1,3,1,40,38,0
412,37,5,111275,11,2,13,0,4,1,40,38,0
413,65,4,178878,11,2,4,0,4,1,48,38,0
414,43,0,157237,12,2,9,0,4,1,40,38,1
415,45,2,155664,11,4,0,1,4,1,44,38,0
416,24,5,322658,9,4,3,1,4,0,40,38,0
417,24,2,208503,15,4,6,1,4,1,42,38,0
418,19,1,223326,15,4,10,3,4,1,35,38,0
419,37,2,20308,9,2,9,0,4,1,65,38,1
420,24,2,124751,11,4,0,3,4,0,35,38,0
421,34,2,113364,15,2,6,0,4,1,40,10,0
422,50,5,196900,11,2,7,5,4,0,39,38,0
423,36,2,168170,11,2,2,0,4,1,40,32,0
424,39,2,205338,9,2,11,0,4,1,60,38,0
425,44,4,98806,5,2,2,0,4,1,38,38,0
426,45,5,226452,11,2,7,0,4,1,40,38,0
427,32,5,479179,1,4,10,3,4,1,40,38,0
428,47,0,471990,12,2,3,0,2,1,40,38,1
429,50,2,44728,11,2,6,0,4,1,40,38,0
430,32,2,33117,8,2,7,0,4,1,40,38,0
431,19,2,264876,11,4,5,3,4,1,40,38,0
432,28,2,193122,11,0,11,2,4,1,50,38,0
433,39,0,149347,12,4,9,1,4,1,40,30,1
434,21,2,129172,15,4,7,1,4,1,40,38,0
435,73,4,151255,15,6,4,1,4,0,75,38,0
436,39,2,98886,5,2,7,0,4,1,40,25,0
437,25,2,238673,15,4,6,1,4,1,40,38,0
438,31,2,137991,15,1,11,5,4,0,20,38,0
439,51,2,85942,15,0,11,1,4,0,32,38,0
440,39,2,85783,9,2,0,5,4,0,28,38,0
441,31,2,174789,9,0,5,3,4,1,40,38,0
442,21,2,457162,15,4,11,3,2,1,17,38,0
443,46,2,176026,9,0,3,1,4,1,50,38,1
444,73,2,88594,11,0,3,1,4,0,35,38,0
445,41,2,311101,11,0,2,1,4,1,40,38,0
446,20,2,273989,11,4,13,3,4,1,40,38,0
447,27,2,370242,7,4,7,1,4,1,30,38,0
448,24,2,194630,9,4,9,1,4,1,35,38,0
449,20,2,313817,15,2,2,0,4,1,40,38,0
450,39,2,195843,8,4,6,3,4,1,40,38,0
451,27,2,203160,9,4,5,1,4,1,28,38,0
452,33,2,175856,1,2,11,0,4,1,60,38,0
453,33,2,75435,11,2,5,0,0,1,40,38,0
454,36,5,291676,6,2,2,0,2,1,40,38,0
455,55,2,192869,15,2,3,0,4,1,36,38,0
456,19,2,124464,15,4,6,3,4,1,40,38,0
457,35,2,98776,11,4,3,1,4,1,60,38,0
458,34,2,107960,4,4,6,2,1,1,40,24,0
459,62,5,312286,14,0,9,1,4,0,35,38,0
460,33,4,48520,15,2,2,0,4,1,40,38,1
461,39,2,224541,6,2,2,0,4,1,55,25,0
462,36,1,237713,15,2,12,0,4,1,40,38,0
463,41,2,309990,9,0,0,4,4,0,33,38,0
464,39,4,37019,11,2,2,0,4,1,60,38,0
465,18,2,170183,11,4,0,3,4,0,10,38,0
466,61,2,142988,15,2,3,0,4,1,45,38,1
467,20,0,163205,8,4,0,3,4,0,36,38,0
468,35,4,455379,11,2,13,0,4,1,65,38,1
469,27,2,104423,11,4,6,3,4,1,40,38,0
470,66,2,104936,0,6,7,4,4,0,38,38,0
471,21,2,542610,11,4,13,2,2,1,40,38,0
472,20,2,208117,15,4,7,3,4,0,18,38,0
473,34,2,105141,15,0,0,3,4,1,40,38,0
474,31,2,213339,11,5,12,1,4,0,40,38,0
475,41,2,177989,10,2,9,0,4,1,60,38,0
476,64,5,107732,3,2,4,0,3,1,45,3,0
477,32,2,312403,9,4,3,1,4,0,40,38,0
478,30,1,176992,11,2,13,0,4,1,50,38,1
479,36,4,84294,9,2,4,0,4,1,72,38,0
480,22,2,143062,15,4,4,3,4,1,12,38,0
481,53,1,139671,15,2,3,0,4,1,50,38,0
482,50,2,116814,11,6,0,1,0,0,40,38,0
483,36,2,37778,9,2,3,0,4,1,40,38,0
484,41,3,240900,1,2,3,0,4,1,40,38,0
485,55,2,202652,9,4,3,1,4,0,35,38,0
486,38,2,52187,9,2,11,0,4,1,50,38,1
487,28,2,349751,9,4,3,1,2,1,50,38,0
488,24,1,238384,9,4,9,3,4,0,37,38,0
489,60,2,209844,15,0,0,2,4,0,40,38,0
490,54,2,333301,0,2,7,0,2,1,40,38,0
491,27,3,214974,11,2,2,0,4,1,60,38,0
492,30,2,113453,12,2,9,5,4,0,30,38,0
493,54,2,162238,11,6,13,1,4,1,45,38,0
494,44,2,98779,15,2,2,0,4,1,40,38,1
495,52,2,165001,11,2,13,0,4,1,60,38,1
496,18,2,78528,1,4,7,3,4,1,20,38,0
497,55,2,353881,5,2,13,0,4,1,50,38,0
498,35,2,251396,9,2,9,0,4,1,50,38,1
499,37,2,178100,9,0,3,1,4,0,40,38,1
500,22,2,416165,15,4,0,3,4,0,40,38,0
501,45,2,177536,9,2,3,0,4,1,45,8,1
502,38,2,203717,9,2,4,0,4,1,60,38,0
503,48,2,107231,9,2,9,0,4,1,40,38,0
504,35,2,106448,8,2,7,0,4,1,40,38,0
505,21,2,196816,8,2,2,2,4,1,50,38,0
506,37,4,191342,11,2,2,0,1,1,60,29,1
507,18,2,170194,1,4,11,3,4,1,25,38,0
508,26,2,113587,0,0,6,3,4,1,35,38,0
509,48,3,72425,9,2,2,0,4,1,50,38,0
510,51,2,217480,15,5,0,1,2,1,40,38,1
511,52,2,120914,15,2,2,0,4,1,40,38,0
512,32,5,33945,9,2,4,0,4,1,40,38,1
513,39,4,199753,9,2,7,0,4,1,60,38,0
514,51,2,144284,9,2,9,0,4,1,40,38,1
